,Cumulative Winnings
1610,-336949.5
1611,-336849.5
1612,-336999.5
1613,-336899.5
1614,-336699.5
1615,-336599.5
1616,-336399.5
1617,-339999.5
1618,-339599.5
1619,-339499.5
1620,-339649.5
1621,-339724.5
1622,-339524.5
1623,-339599.5
1624,-339599.5
1625,-339599.5
1626,-339399.5
1627,-339299.5
1628,-338999.5
1629,-339074.5
1630,-338874.5
1631,-338949.5
1632,-338149.5
1633,-337849.5
1634,-337649.5
1635,-337549.5
1636,-337349.5
1637,-336749.5
1638,-336549.5
1639,-336149.5
1640,-336099.5
1641,-335799.5
1642,-335949.5
1643,-335849.5
1644,-335999.5
1645,-335899.5
1646,-335699.5
1647,-335399.5
1648,-335199.5
1649,-335099.5
1650,-335249.5
1651,-335324.5
1652,-335024.5
1653,-334924.5
1654,-354924.5
1655,-356274.5
1656,-355974.5
1657,-355674.5
1658,-355374.5
1659,-355274.5
1660,-355074.5
1661,-355149.5
1662,-355299.5
1663,-354999.5
1664,-355149.5
1665,-355049.5
1666,-354749.5
1667,-354649.5
1668,-352849.5
1669,-352924.5
1670,-372924.5
1671,-372824.5
1672,-372624.5
1673,-372524.5
1674,-372224.5
1675,-372299.5
1676,-372249.5
1677,-372149.5
1678,-392149.5
1679,-392049.5
1680,-391849.5
1681,-398599.5
1682,-399349.5
1683,-399249.5
1684,-398849.5
1685,-398549.5
1686,-398249.5
1687,-398149.5
1688,-397849.5
1689,-397924.5
1690,-397624.5
1691,-396874.5
1692,-396824.5
1693,-396974.5
1694,-396774.5
1695,-396849.5
1696,-397299.5
1697,-397374.5
1698,-397174.5
1699,-397074.5
1700,-396874.5
1701,-396774.5
1702,-396574.5
1703,-396649.5
1704,-396449.5
1705,-396524.5
1706,-396224.5
1707,-396299.5
1708,-396099.5
1709,-395999.5
1710,-395999.5
1711,-395899.5
1712,-396349.5
1713,-416349.5
1714,-416299.5
1715,-416199.5
1716,-416349.5
1717,-416249.5
1718,-416399.5
1719,-416474.5
1720,-416274.5
1721,-415974.5
1722,-415974.5
1723,-415874.5
1724,-415674.5
1725,-414774.5
1726,-414574.5
1727,-414474.5
1728,-414174.5
1729,-414074.5
1730,-413874.5
1731,-413949.5
1732,-413749.5
1733,-413749.5
1734,-413449.5
1735,-413149.5
1736,-412949.5
1737,-432949.5
1738,-432749.5
1739,-432824.5
1740,-432774.5
1741,-432674.5
1742,-432374.5
1743,-432449.5
1744,-432149.5
1745,-432049.5
1746,-432199.5
1747,-432274.5
1748,-432424.5
1749,-432324.5
1750,-452324.5
1751,-452774.5
1752,-452574.5
1753,-452649.5
1754,-451899.5
1755,-451799.5
1756,-451599.5
1757,-451499.5
1758,-451449.5
1759,-451149.5
1760,-449274.5
1761,-449174.5
1762,-450424
1763,-450499
1764,-450449
1765,-450449
1766,-450249
1767,-450149
1768,-450299
1769,-450199
1770,-449199
1771,-448899
1772,-448699
1773,-448399
1774,-448099
1775,-447199
1776,-447149
1777,-447049
1778,-446749
1779,-446899
1780,-446599
1781,-446499
1782,-446649
1783,-466649
1784,-466449
1785,-465549
1786,-465349
1787,-465249
1788,-465049
1789,-464949
1790,-464899
1791,-464599
1792,-464749
1793,-464649
1794,-462849
1795,-462749
1796,-460949
1797,-460949
1798,-461099
1799,-460999
1800,-460949
1801,-460849
1802,-460649
1803,-460724
1804,-461024
1805,-460724
1806,-480724
1807,-480624
1808,-480924
1809,-480824
1810,-480974
1811,-480874
1812,-480674
1813,-480674
1814,-480824
1815,-480724
1816,-480424
1817,-480499
1818,-480299
1819,-480299
1820,-479699
1821,-479774
1822,-479474
1823,-479374
1824,-479174
1825,-479249
1826,-479199
1827,-479199
1828,-478899
1829,-478899
1830,-479049
1831,-480549
1832,-479949
1833,-482199
1834,-481799
1835,-481699
1836,-480949
1837,-480849
1838,-480849
1839,-480749
1840,-480699
1841,-480999
1842,-480799
1843,-480699
1844,-480399
1845,-481299
1846,-482199
1847,-482099
1848,-481899
1849,-481899
1850,-481699
1851,-481599
1852,-481299
1853,-480699
1854,-480499
1855,-480399
1856,-480099
1857,-479799
1858,-479599
1859,-479674
1860,-479474
1861,-479474
1862,-479274
1863,-479174
1864,-477974
1865,-477874
1866,-477574
1867,-477474
1868,-457474
1869,-457374
1870,-457074
1871,-456474
1872,-456274
1873,-456349
